UPRN,R Route,D Route,G Route,F Route,C Route,R Day,R Wk,D Day,D WK,G Day,G Wk,F Day,F Wk,C Day,F Wk
9059024745,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059029815,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059036168,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059045340,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059014538,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059071072,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059035470,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059068771,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059066390,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059038197,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059035694,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059002484,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059004957,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059058716,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059056286,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059007863,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059059123,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059028090,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059072484,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059028606,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059076935,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059049814,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059024158,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059054359,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059023364,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059072119,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059049371,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059079128,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059004382,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059042737,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059042137,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059036632,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059041110,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059045491,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059039866,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059039100,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059038628,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059038198,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059037811,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059037122,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059031037,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059030638,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059035595,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059035060,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059029379,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059010558,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059015246,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059009618,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059009165,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059024348,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059060161,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059019078,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059050154,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059008836,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059039708,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059075774,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059071092,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059043208,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059042552,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059042138,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059041837,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059041406,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059040973,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059070830,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059070427,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059050925,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059040204,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059034343,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059031064,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059075824,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059071172,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059061574,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003208,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059015465,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059028287,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059000363,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059069578,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059030644,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059013328,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059044117,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059024192,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059049437,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059023608,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059018367,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059025907,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059054696,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059057016,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003454,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059000583,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059028541,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031051,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059046457,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059056138,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059055677,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003306,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059060028,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059002782,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059059265,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059058876,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059021358,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059001170,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059047427,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059002825,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003346,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059024434,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059033865,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031149,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059064997,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059062404,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059060022,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059029208,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059079844,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059050209,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059024263,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031021,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059032569,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059034555,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059038141,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003951,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059083931,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059055258,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059045637,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059029207,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059060019,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059029206,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059079833,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059076363,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059050207,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059070383,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059079822,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059066469,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059055257,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059056592,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059024262,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031010,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059044871,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059052675,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059014001,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059055345,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059019347,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059032099,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059065727,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059060587,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059009163,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059048069,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059066009,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059022151,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059004464,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059060719,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059033911,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003661,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059049822,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059043445,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059018908,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059046212,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059050206,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059025378,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059019147,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059061301,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059070426,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059030465,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059039880,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059083930,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059036639,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059010691,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059036630,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059005744,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059062287,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031196,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059057428,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031456,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059062582,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059031455,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059006383,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059052842,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059026592,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059057064,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059083473,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059000984,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059004271,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059005743,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059008490,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059066594,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059007983,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059066179,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059007221,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059070425,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059006651,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059070044,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059006042,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059079147,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059005587,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059003604,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059013877,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059002959,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059018453,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059002634,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059018128,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059017616,REF107,DMR107,G11,F11,C21,T,1,T,2,M,4,F,1,Tu,2
9059067522,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059035865,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
